stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,6,0.033382,0.2735,115.00,128.00,229.00,,,119.43,74.66,11225.60,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,6,0.062216,0.5097,63.00,65.00,68.00,143.00,275.00,63.25,52.46,5905.49,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,6,0.156186,1.2795,24.00,25.00,28.00,45.00,106.00,24.11,14.79,2425.10,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,6,0.068110,0.5580,114.00,123.00,169.00,,,116.73,60.91,12890.77,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,6,0.125497,1.0281,62.00,65.00,67.00,138.00,283.00,62.63,54.12,2587.42,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,6,0.295414,2.4200,25.00,26.00,29.00,48.00,112.00,25.47,16.56,3447.35,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,6,0.116108,0.9512,118.00,175.00,195.00,,,136.49,56.18,4476.84,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,6,0.224960,1.8429,69.00,71.00,74.00,150.00,196.00,69.86,60.29,1946.95,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,6,0.540556,4.4282,27.00,28.00,30.00,55.00,120.00,27.88,17.48,14274.78,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,6,0.194839,1.5961,174.00,183.00,237.00,,,162.31,57.78,14148.95,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,6,0.410714,3.3646,76.00,78.00,82.00,167.00,306.00,76.26,64.24,2235.25,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,6,0.932175,7.6364,32.00,33.00,36.00,77.00,146.00,32.25,21.45,3714.86,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,6,0.280093,2.2945,240.00,249.00,299.00,,,226.10,120.04,16735.58,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,6,0.579782,4.7496,110.00,113.00,122.00,207.00,439.00,108.28,78.22,2683.78,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,6,2.285373,18.7218,25.00,29.00,31.00,55.00,120.00,26.18,14.66,378.53,0,0,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,7,0.015694,0.1286,62.00,63.00,67.00,133.00,171.00,62.70,54.20,4258.53,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,7,0.038956,0.3191,24.00,25.00,29.00,47.00,106.00,24.31,15.73,2590.19,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,7,0.008345,0.0684,114.00,116.00,283.00,,,119.70,88.96,16219.37,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,7,0.032465,0.2660,59.00,63.00,65.00,130.00,224.00,60.61,51.40,3093.12,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,7,0.093516,0.7661,19.00,22.00,27.00,39.00,100.00,19.98,14.30,4640.16,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,7,0.015812,0.1295,115.00,226.00,342.00,,,126.20,78.11,3098.20,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,7,0.062064,0.5084,63.00,64.00,68.00,138.00,170.00,63.41,52.49,4111.07,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,7,0.164637,1.3487,21.00,25.00,27.00,45.00,106.00,22.82,15.55,10903.62,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,7,0.031803,0.2605,114.00,226.00,365.00,,,125.24,71.34,4636.64,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,7,0.121201,0.9929,64.00,66.00,69.00,142.00,195.00,64.90,53.81,2867.86,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,7,0.299036,2.4497,25.00,26.00,29.00,49.00,110.00,25.13,16.17,152791.20,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,7,0.065481,0.5364,115.00,168.00,227.00,,,121.44,80.30,2317.80,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,7,0.228807,1.8744,68.00,70.00,73.00,149.00,357.00,68.67,57.42,15458.37,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,7,0.469727,3.8480,32.00,33.00,35.00,77.00,124.00,32.33,18.24,162274.63,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,7,0.115729,0.9481,118.00,175.00,180.00,,,136.94,55.60,7005.37,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,7,0.405659,3.3232,77.00,79.00,82.00,170.00,283.00,77.23,66.58,2899.19,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,7,0.917015,7.5122,32.00,33.00,36.00,85.00,145.00,32.79,23.40,1712.13,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,7,0.196510,1.6098,174.00,182.00,234.00,,,160.95,57.99,5635.53,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,7,0.562561,4.6085,111.00,113.00,122.00,210.00,375.00,111.65,76.45,105535.23,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,7,2.305050,18.8830,25.00,28.00,31.00,56.00,122.00,25.92,12.68,494.51,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,7,0.272712,2.2341,240.00,254.00,361.00,,,232.27,119.26,165026.98,,,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,8,0.039816,0.3262,23.00,24.00,29.00,46.00,107.00,23.75,15.73,1258.72,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,8,0.008535,0.0699,114.00,115.00,227.00,,,117.05,88.81,4952.06,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,8,0.015854,0.1299,62.00,63.00,67.00,136.00,174.00,62.07,51.23,2512.40,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,8,0.093304,0.7643,19.00,20.00,26.00,36.00,99.00,19.99,14.99,2749.17,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,8,0.015939,0.1306,115.00,226.00,286.00,,,125.20,77.94,2392.76,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,8,0.032180,0.2636,61.00,63.00,66.00,138.00,183.00,61.15,49.33,9651.58,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,8,0.164345,1.3463,21.00,25.00,27.00,43.00,102.00,22.86,15.87,3340.61,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,8,0.033525,0.2746,115.00,118.00,229.00,,,118.93,72.67,5058.67,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,8,0.061165,0.5011,63.00,65.00,69.00,143.00,257.00,64.35,55.59,2659.86,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,8,0.293760,2.4065,25.00,26.00,29.00,55.00,113.00,25.61,16.60,1976.05,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,8,0.065480,0.5364,115.00,168.00,184.00,,,121.44,76.81,10496.45,,,0,0
