arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_publications_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_pending_total,dmesh_worker_cross_in_total,dmesh_worker_pe_progressed_total,dmesh_worker_cross_out_total,dmesh_worker_arms_total,dmesh_tx_arena_copy_bytes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_tx_writer_wakes_total,dmesh_worker_data_progressed_total,dmesh_worker_drain_idle_total,dmesh_worker_notification_clears_total,dmesh_worker_drain_progressed_total,dmesh_tx_reserve_attempts_total
direct,grpc,1024,capacity,trace,1,True,12.464952528011054,81.74,385858,31370.000000000004,2002.0,5780.0,211.83958865696707,,0.0,64099.0,0.0,290140.0,3094468.0,128784.0,0.0,290140.0,0.0,592699.0,833864385.0,833864385.0,94294.0,64099.0,2111459.0,854225.0,592699.0,2111459.0,
direct,grpc,1024,matched,clean,1,True,8.503385543939658,53.35,160000,19999.0,1019.0,2000.0,333.4375,,0.0,200.0,0.0,252504.0,2480390.0,90089.0,0.0,252504.0,0.0,487099.0,345776812.0,345776812.0,67938.0,198.0,1648831.0,741470.0,487099.0,1648831.0,
direct,grpc,1024,matched,clean,2,True,8.52572021796368,53.16,159999,20000.0,1022.0,2086.0,332.2520765754786,,0.0,266.0,0.0,251893.0,2471399.0,89248.0,0.0,251893.0,0.0,483480.0,345776776.0,345776776.0,65466.0,266.0,1647524.0,734627.0,483480.0,1647524.0,
direct,grpc,1024,matched,clean,3,True,8.470149058965035,53.2,159999,20000.0,1026.0,2006.0,332.50207813798835,,0.0,176.0,0.0,251811.0,2467388.0,89996.0,0.0,251811.0,0.0,482277.0,345774651.0,345774651.0,65076.0,174.0,1647028.0,730364.0,482277.0,1647028.0,
direct,grpc,64,capacity,clean,1,True,8.532378423027694,53.51,306231,36924.0,1767.0,2578.0,174.73737146141312,,0.0,0.0,0.0,218631.0,2286351.0,80287.0,0.0,218631.0,0.0,468317.0,72279348.0,72279348.0,65529.0,0.0,1478007.0,728057.0,468317.0,1478007.0,
direct,grpc,64,capacity,clean,2,True,8.476835350971669,53.3,299282,36134.0,1785.0,2676.0,178.0929023462821,,0.0,0.0,0.0,220074.0,2286546.0,84033.0,0.0,220074.0,0.0,468566.0,70639163.0,70639163.0,65297.0,0.0,1484951.0,717562.0,468566.0,1484951.0,
direct,grpc,64,capacity,clean,3,True,8.524646676960401,52.81,294349,35482.0,1810.0,2717.0,179.4128738334426,,0.0,0.0,0.0,219231.0,2270807.0,82249.0,0.0,219231.0,0.0,466832.0,69474811.0,69474811.0,66152.0,0.0,1472655.0,715903.0,466832.0,1472655.0,
direct,grpc,64,capacity,trace,1,True,12.496532132965513,78.44,406817,33089.0,1900.0,5714.0,192.8139679511918,,0.0,0.0,0.0,300512.0,3095186.0,115896.0,0.0,300512.0,0.0,633890.0,96019661.0,96019661.0,94952.0,0.0,2018745.0,960545.0,633890.0,2018745.0,
direct,grpc,64,matched,clean,1,True,8.513185570016503,52.6,159999,19999.0,972.0,1968.0,328.7520547003419,,0.0,0.0,0.0,261283.0,2568192.0,89658.0,0.0,261283.0,0.0,505392.0,37768223.0,37768223.0,65522.0,0.0,1701823.0,776711.0,505392.0,1701823.0,
direct,grpc,64,matched,clean,2,True,8.44838300801348,52.72,159999,19999.0,966.0,1940.0,329.50205938787116,,0.0,0.0,0.0,259834.0,2552711.0,88185.0,0.0,259834.0,0.0,501460.0,37768073.0,37768073.0,65601.0,0.0,1694498.0,770028.0,501460.0,1694498.0,
direct,grpc,64,matched,clean,3,True,8.528143194038421,52.56,159999,20000.0,968.0,1998.0,328.5020531378321,,0.0,0.0,0.0,259657.0,2553025.0,89174.0,0.0,259657.0,0.0,502490.0,37768291.0,37768291.0,65838.0,0.0,1693159.0,770692.0,502490.0,1693159.0,
direct,grpc,65536,capacity,clean,1,True,8.531911039957777,64.08,103210,12433.0,5078.0,7987.0,620.8700707295804,,0.0,9.0,0.0,1798509.0,2773412.0,18011.0,0.0,1798509.0,0.0,114774.0,13552108246.0,13552108246.0,70786.0,9.0,2592786.0,162615.0,114774.0,2592786.0,
direct,grpc,65536,capacity,clean,2,True,8.462354778079316,64.17,103655,12505.0,5038.0,8009.0,619.0728860161112,,0.0,9.0,0.0,1806299.0,2758618.0,17933.0,0.0,1806299.0,0.0,108901.0,13610824097.0,13610824097.0,67497.0,9.0,2589337.0,151348.0,108901.0,2589337.0,
direct,grpc,65536,capacity,clean,3,True,8.52107611997053,64.28,103867,12506.0,5030.0,8074.0,618.8683604994849,,0.0,9.0,0.0,1809207.0,2773361.0,18076.0,0.0,1809207.0,0.0,112615.0,13638795720.0,13638795720.0,68573.0,9.0,2597021.0,158264.0,112615.0,2597021.0,
direct,grpc,65536,capacity,clean,4,True,8.484120519948192,63.59,103171,12434.0,5120.0,7769.0,616.3553711798858,,0.0,8.0,0.0,1796229.0,2767546.0,19755.0,0.0,1796229.0,0.0,117065.0,13547401705.0,13547401705.0,67559.0,8.0,2584010.0,163781.0,117065.0,2584010.0,
direct,grpc,65536,capacity,clean,5,True,8.47900238703005,64.39,105291,12695.0,4988.0,8080.0,611.5432468112184,,0.0,0.0,0.0,1834071.0,2760529.0,17787.0,0.0,1834071.0,0.0,107022.0,13826186519.0,13826186519.0,67516.0,0.0,2593830.0,148912.0,107022.0,2593830.0,
direct,grpc,65536,capacity,clean,6,True,8.491601435933262,56.23,91966,11049.0,5043.0,7627.0,611.4216123349934,,0.0,0.0,0.0,1601779.0,2465416.0,16325.0,0.0,1601779.0,0.0,105340.0,12076257641.0,12076257641.0,63945.0,0.0,2298875.0,150216.0,105340.0,2298875.0,
direct,grpc,65536,capacity,stat,1,True,12.44984941801522,95.37,153476,12475.0,5040.0,7992.0,621.4000886132034,,0.0,9.0,0.0,2674421.0,4066344.0,26108.0,0.0,2674421.0,0.0,157576.0,20153197552.0,20153197552.0,98074.0,9.0,3822200.0,218036.0,157576.0,3822200.0,
direct,grpc,65536,capacity,stat,2,True,12.51565778895747,95.56,153780,12496.0,5047.0,7766.0,621.4072050981922,,0.0,9.0,0.0,2678980.0,4056449.0,25891.0,0.0,2678980.0,0.0,157165.0,20192153881.0,20192153881.0,98557.0,9.0,3811992.0,218566.0,157165.0,3811992.0,
direct,grpc,65536,capacity,stat,3,True,12.481245564995334,95.43,153755,12496.0,5016.0,8170.0,620.6627426750349,,0.0,9.0,0.0,2678147.0,4070797.0,26636.0,0.0,2678147.0,0.0,161976.0,20189355131.0,20189355131.0,101356.0,9.0,3817643.0,226518.0,161976.0,3817643.0,
direct,grpc,65536,capacity,trace,1,True,12.47042149095796,84.22,104935,8522.0,6678.0,18822.0,802.5920808119312,,0.0,9.0,0.0,1849559.0,2713360.0,14537.0,0.0,1849559.0,0.0,101186.0,13778658571.0,13778658571.0,93579.0,9.0,2553859.0,144964.0,101186.0,2553859.0,
direct,grpc,65536,matched,clean,1,True,8.455774823087268,16.26,16000,1999.0,1414.0,2480.0,1016.2500000000001,,0.0,0.0,0.0,289937.0,1228488.0,31837.0,0.0,289937.0,0.0,190887.0,2100717033.0,2100717033.0,50035.0,0.0,879385.0,317266.0,190887.0,879385.0,
direct,grpc,65536,matched,clean,2,True,8.463524762075394,16.23,16000,1999.0,1474.0,2587.0,1014.375,,0.0,0.0,0.0,290422.0,1228878.0,32092.0,0.0,290422.0,0.0,188341.0,2100723680.0,2100723680.0,47405.0,0.0,884830.0,311956.0,188341.0,884830.0,
direct,grpc,65536,matched,clean,3,True,8.536589391995221,16.15,16000,1999.0,1449.0,2693.0,1009.3749999999999,,0.0,0.0,0.0,290110.0,1226444.0,31904.0,0.0,290110.0,0.0,188295.0,2100719707.0,2100719707.0,46927.0,0.0,882341.0,312199.0,188295.0,882341.0,
direct,grpc,8192,capacity,clean,1,True,8.482664403039962,57.74,186763,22499.0,2784.0,5464.0,309.1618789588944,,0.0,2.0,0.0,446425.0,1475386.0,33299.0,0.0,446425.0,0.0,151734.0,3081092936.0,3081092936.0,65928.0,2.0,1220787.0,221300.0,151734.0,1220787.0,
direct,grpc,8192,capacity,clean,2,True,8.477971486048773,57.31,185992,22436.0,2788.0,5636.0,308.1315325390339,,0.0,2.0,0.0,442595.0,1445634.0,32133.0,0.0,442595.0,0.0,146785.0,3068430566.0,3068430566.0,65393.0,2.0,1198221.0,215280.0,146785.0,1198221.0,
direct,grpc,8192,capacity,clean,3,True,8.528950105072,56.95,184290,22196.0,2796.0,6648.0,309.0238211514461,,0.0,2.0,0.0,441050.0,1465660.0,33124.0,0.0,441050.0,0.0,151541.0,3040302391.0,3040302391.0,65193.0,2.0,1211154.0,221382.0,151541.0,1211154.0,
