run_id,stage,sequence,config,payload_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,generator_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,generator_drop_ratio,clean,reason,raw_result
scout-1024-envoy-strict-pilot1-v1,pilot,1,envoy-strict,1024,5000,2,4999.000,363.00,463.00,10000,0,0,0,0,0,0.999800,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot1-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot2-v1,pilot,2,envoy-strict,1024,6750,2,6302.000,227.00,147248.00,13500,840,0,0,0,0,0.933630,1.000000,0.062222,0,achieved+generator_drop+p99,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot2-v1.result.attempt1.txt
scout-1024-envoy-strict-validate2-v1,validate,2,envoy-strict,1024,6750,10,6750.000,357.00,458.00,67500,0,0,0,0,0,1.000000,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-validate2-v1.result.attempt1.txt
scout-1024-envoy-strict-validate2-v2,validate,2,envoy-strict,1024,6750,10,6750.000,359.00,474.00,67500,0,0,0,0,0,1.000000,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-validate2-v2.result.attempt1.txt
scout-1024-envoy-strict-pilot3-v1,pilot,3,envoy-strict,1024,9113,2,9110.000,213.00,491.00,18228,0,4,0,0,0,0.999671,1.000110,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot3-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot4-v1,pilot,4,envoy-strict,1024,12303,2,12301.000,198.00,549.00,24608,0,3,0,0,0,0.999837,1.000081,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot4-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot5-v1,pilot,5,envoy-strict,1024,16609,2,16606.000,193.00,490.00,33220,0,4,0,0,0,0.999819,1.000060,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot5-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot6-v1,pilot,6,envoy-strict,1024,22422,2,22419.000,165.00,256.00,44844,0,3,0,0,0,0.999866,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot6-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot7-v1,pilot,7,envoy-strict,1024,30270,2,30267.000,165.00,286.00,60540,0,4,0,0,0,0.999901,1.000000,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot7-v1.result.attempt1.txt
scout-1024-envoy-strict-pilot8-v1,pilot,8,envoy-strict,1024,40865,2,40863.000,270.00,409.00,81728,0,6,0,0,0,0.999951,0.999976,0.000000,1,clean,/home/jukebox/DPUmesh/bench/report/data/l4-20260728-113431/raw/scout-1024-envoy-strict-pilot8-v1.result.attempt1.txt
