config,body,rate,role,core,site,samples,cores,share
grpc-envoy-strict,48,8000,server,25,kernel-syscall,203,0.03254,0.06153
grpc-envoy-strict,48,8000,server,25,libc,188,0.03014,0.05699
grpc-envoy-strict,48,8000,server,25,kernel-poll,81,0.01298,0.02455
grpc-envoy-strict,48,8000,server,25,vdso,25,0.00401,0.00758
grpc-envoy-strict,48,8000,server,25,app-code,1,0.00016,0.0003
grpc-envoy-strict,48,16000,client,24,grpc-code,1917,0.30817,0.3086
grpc-envoy-strict,48,16000,client,24,kernel-sched,1405,0.22586,0.22618
grpc-envoy-strict,48,16000,client,24,kernel-net,793,0.12748,0.12766
grpc-envoy-strict,48,16000,client,24,kernel-other,569,0.09147,0.0916
grpc-envoy-strict,48,16000,client,24,envoy-code,530,0.0852,0.08532
grpc-envoy-strict,48,16000,client,24,kernel-syscall,389,0.06253,0.06262
grpc-envoy-strict,48,16000,client,24,libc,388,0.06237,0.06246
grpc-envoy-strict,48,16000,client,24,kernel-poll,152,0.02443,0.02447
grpc-envoy-strict,48,16000,client,24,vdso,47,0.00756,0.00757
grpc-envoy-strict,48,16000,client,24,app-code,22,0.00354,0.00354
grpc-envoy-strict,48,16000,server,25,grpc-code,2014,0.32416,0.33141
grpc-envoy-strict,48,16000,server,25,kernel-sched,1273,0.20489,0.20948
grpc-envoy-strict,48,16000,server,25,kernel-net,806,0.12973,0.13263
grpc-envoy-strict,48,16000,server,25,kernel-other,554,0.08917,0.09116
grpc-envoy-strict,48,16000,server,25,envoy-code,526,0.08466,0.08656
grpc-envoy-strict,48,16000,server,25,kernel-syscall,388,0.06245,0.06385
grpc-envoy-strict,48,16000,server,25,libc,343,0.05521,0.05644
grpc-envoy-strict,48,16000,server,25,kernel-poll,125,0.02012,0.02057
grpc-envoy-strict,48,16000,server,25,vdso,47,0.00756,0.00773
grpc-envoy-strict,48,16000,server,25,app-code,1,0.00016,0.00016
grpc-envoy-strict,48,24000,client,24,grpc-code,2421,0.38928,0.38935
grpc-envoy-strict,48,24000,client,24,kernel-sched,981,0.15774,0.15777
grpc-envoy-strict,48,24000,client,24,kernel-net,822,0.13217,0.1322
grpc-envoy-strict,48,24000,client,24,kernel-other,592,0.09519,0.09521
grpc-envoy-strict,48,24000,client,24,envoy-code,528,0.0849,0.08491
grpc-envoy-strict,48,24000,client,24,libc,376,0.06046,0.06047
grpc-envoy-strict,48,24000,client,24,kernel-syscall,323,0.05194,0.05195
grpc-envoy-strict,48,24000,client,24,kernel-poll,102,0.0164,0.0164
grpc-envoy-strict,48,24000,client,24,vdso,48,0.00772,0.00772
grpc-envoy-strict,48,24000,client,24,app-code,25,0.00402,0.00402
grpc-envoy-strict,48,24000,server,25,grpc-code,2383,0.38322,0.3856
grpc-envoy-strict,48,24000,server,25,kernel-sched,1017,0.16355,0.16456
grpc-envoy-strict,48,24000,server,25,kernel-net,770,0.12383,0.1246
grpc-envoy-strict,48,24000,server,25,kernel-other,564,0.0907,0.09126
grpc-envoy-strict,48,24000,server,25,envoy-code,459,0.07381,0.07427
grpc-envoy-strict,48,24000,server,25,libc,430,0.06915,0.06958
grpc-envoy-strict,48,24000,server,25,kernel-syscall,354,0.05693,0.05728
grpc-envoy-strict,48,24000,server,25,kernel-poll,127,0.02042,0.02055
grpc-envoy-strict,48,24000,server,25,vdso,72,0.01158,0.01165
grpc-envoy-strict,48,24000,server,25,app-code,4,0.00064,0.00065
grpc-envoy-strict,1008,20000,client,24,grpc-code,2189,0.35196,0.35204
grpc-envoy-strict,1008,20000,client,24,kernel-sched,1016,0.16336,0.1634
grpc-envoy-strict,1008,20000,client,24,kernel-net,891,0.14326,0.14329
grpc-envoy-strict,1008,20000,client,24,kernel-other,608,0.09776,0.09778
grpc-envoy-strict,1008,20000,client,24,envoy-code,531,0.08538,0.0854
grpc-envoy-strict,1008,20000,client,24,libc,441,0.07091,0.07092
grpc-envoy-strict,1008,20000,client,24,kernel-syscall,352,0.0566,0.05661
grpc-envoy-strict,1008,20000,client,24,kernel-poll,137,0.02203,0.02203
grpc-envoy-strict,1008,20000,client,24,vdso,42,0.00675,0.00675
grpc-envoy-strict,1008,20000,client,24,app-code,11,0.00177,0.00177
grpc-envoy-strict,1008,20000,server,25,grpc-code,2081,0.33467,0.33527
grpc-envoy-strict,1008,20000,server,25,kernel-sched,1054,0.16951,0.16981
grpc-envoy-strict,1008,20000,server,25,kernel-net,884,0.14217,0.14242
grpc-envoy-strict,1008,20000,server,25,kernel-other,657,0.10566,0.10585
grpc-envoy-strict,1008,20000,server,25,envoy-code,562,0.09038,0.09054
grpc-envoy-strict,1008,20000,server,25,libc,438,0.07044,0.07057
grpc-envoy-strict,1008,20000,server,25,kernel-syscall,363,0.05838,0.05848
grpc-envoy-strict,1008,20000,server,25,kernel-poll,108,0.01737,0.0174
