run_id,mode,kind,frame,threads,conc,offered_rps,achieved_rps,gbps,p50_us,p95_us,p99_us,p999_us,fail,drops,reorder,rcnt,dist
rate-l7-conn-64-126547-r2,l7-conn,rate,64,8,,126547,0.126548,0.1296,877.00,1248.00,1322.00,1600.00,0,0,0,631035,0:632635
rate-l7-conn-64-151857-r1,l7-conn,rate,64,8,,151857,0.151863,0.1555,881.00,1249.00,1329.00,2765.00,0,0,0,757591,0:759191
rate-l7-conn-64-151857-r2,l7-conn,rate,64,8,,151857,0.151860,0.1555,879.00,1246.00,1322.00,2339.00,0,0,0,757599,0:759199
knee-l7-conn-64-5844081-r1,l7-conn,knee,64,8,,5844081,5.844963,5.9852,403.00,560.00,858.00,37117.00,0,0,0,29215938,0:29217538
knee-l7-conn-64-5844081-r2,l7-conn,knee,64,8,,5844081,5.844736,5.9850,406.00,570.00,1091.00,37009.00,0,0,0,29215829,0:29217429
closed-l7-conn-64-c32-r1,l7-conn,closed,64,8,32,,0.214567,0.2197,1246.00,1325.00,1490.00,3614.00,0,0,0,1071222,0:1072822
closed-l7-conn-64-c1-r1,l7-conn,closed,64,1,1,,0.007787,0.0080,126.00,135.00,219.00,368.00,0,0,0,38701,0:38901
closed-l7-conn-64-c32-r2,l7-conn,closed,64,8,32,,0.215956,0.2211,1245.00,1315.00,1409.00,2521.00,0,0,0,1078175,0:1079775
closed-l7-conn-64-c1-r2,l7-conn,closed,64,1,1,,0.007637,0.0078,124.00,142.00,287.00,472.00,0,0,0,37968,0:38168
rate-l7-conn-1024-42182-r1,l7-conn,rate,1024,8,,42182,0.042179,0.6911,179.00,1129.00,1304.00,1517.00,0,0,0,209292,0:210892
rate-l7-conn-1024-42182-r2,l7-conn,rate,1024,8,,42182,0.042181,0.6911,173.00,1130.00,1309.00,1534.00,0,0,0,209304,0:210904
rate-l7-conn-1024-84365-r1,l7-conn,rate,1024,8,,84365,0.084364,1.3822,645.00,1210.00,1307.00,1428.00,0,0,0,420198,0:421798
rate-l7-conn-1024-84365-r2,l7-conn,rate,1024,8,,84365,0.084351,1.3820,647.00,1210.00,1306.00,1412.00,0,0,0,420140,0:421740
rate-l7-conn-1024-126548-r1,l7-conn,rate,1024,8,,126548,0.126553,2.0734,514.00,930.00,1071.00,3421.00,0,0,0,631109,0:632709
rate-l7-conn-1024-126548-r2,l7-conn,rate,1024,8,,126548,0.126549,2.0734,509.00,925.00,1068.00,1410.00,0,0,0,631067,0:632667
rate-l7-conn-1024-151857-r1,l7-conn,rate,1024,8,,151857,0.151848,2.4879,480.00,766.00,894.00,1040.00,0,0,0,757593,0:759193
rate-l7-conn-1024-151857-r2,l7-conn,rate,1024,8,,151857,0.151853,2.4880,481.00,764.00,892.00,1035.00,0,0,0,757611,0:759211
knee-l7-conn-1024-768856-r1,l7-conn,knee,1024,8,,768856,0.768850,12.5968,219.00,319.00,445.00,10145.00,0,0,0,3842500,0:3844100
knee-l7-conn-1024-768856-r2,l7-conn,knee,1024,8,,768856,0.768858,12.5970,221.00,330.00,631.00,3361.00,0,0,0,3842522,0:3844122
closed-l7-conn-1024-c32-r1,l7-conn,closed,1024,8,32,,1.375335,22.5335,184.00,195.00,237.00,496.00,0,0,0,6874872,0:6876472
closed-l7-conn-1024-c1-r1,l7-conn,closed,1024,1,1,,0.007874,0.1290,124.00,134.00,207.00,326.00,0,0,0,39138,0:39338
closed-l7-conn-1024-c32-r2,l7-conn,closed,1024,8,32,,1.368074,22.4145,185.00,197.00,223.00,481.00,0,0,0,6838840,0:6840440
closed-l7-conn-1024-c1-r2,l7-conn,closed,1024,1,1,,0.007880,0.1291,124.00,133.00,201.00,321.00,0,0,0,39184,0:39384
