config,body,rate,role,core,site,samples,cores,share
envoy-permissive,48,120000,client,20,vdso,41,0.00657,0.00658
envoy-permissive,48,120000,server,21,kernel-net,1690,0.27231,0.27796
envoy-permissive,48,120000,server,21,kernel-sched,1576,0.25394,0.25921
envoy-permissive,48,120000,server,21,kernel-other,1047,0.1687,0.1722
envoy-permissive,48,120000,server,21,envoy-code,770,0.12407,0.12664
envoy-permissive,48,120000,server,21,kernel-syscall,510,0.08218,0.08388
envoy-permissive,48,120000,server,21,libc,234,0.0377,0.03849
envoy-permissive,48,120000,server,21,kernel-poll,210,0.03384,0.03454
envoy-permissive,48,120000,server,21,app-code,23,0.00371,0.00378
envoy-permissive,48,120000,server,21,vdso,20,0.00322,0.00329
envoy-permissive,48,260000,client,20,kernel-net,1772,0.28448,0.28452
envoy-permissive,48,260000,client,20,kernel-sched,1519,0.24386,0.2439
envoy-permissive,48,260000,client,20,kernel-other,1134,0.18205,0.18208
envoy-permissive,48,260000,client,20,envoy-code,677,0.10869,0.1087
envoy-permissive,48,260000,client,20,kernel-syscall,545,0.08749,0.08751
envoy-permissive,48,260000,client,20,kernel-poll,209,0.03355,0.03356
envoy-permissive,48,260000,client,20,libc,206,0.03307,0.03308
envoy-permissive,48,260000,client,20,app-code,106,0.01702,0.01702
envoy-permissive,48,260000,client,20,vdso,60,0.00963,0.00963
envoy-permissive,48,260000,server,21,kernel-net,1718,0.27637,0.28643
envoy-permissive,48,260000,server,21,kernel-sched,1588,0.25546,0.26475
envoy-permissive,48,260000,server,21,kernel-other,963,0.15491,0.16055
envoy-permissive,48,260000,server,21,envoy-code,737,0.11856,0.12287
envoy-permissive,48,260000,server,21,kernel-syscall,541,0.08703,0.0902
envoy-permissive,48,260000,server,21,libc,241,0.03877,0.04018
envoy-permissive,48,260000,server,21,kernel-poll,159,0.02558,0.02651
envoy-permissive,48,260000,server,21,app-code,33,0.00531,0.0055
envoy-permissive,48,260000,server,21,vdso,18,0.0029,0.003
envoy-permissive,48,400000,client,20,kernel-net,1828,0.29352,0.29356
envoy-permissive,48,400000,client,20,kernel-sched,1435,0.23041,0.23045
envoy-permissive,48,400000,client,20,kernel-other,1151,0.18481,0.18484
envoy-permissive,48,400000,client,20,envoy-code,620,0.09955,0.09957
envoy-permissive,48,400000,client,20,kernel-syscall,551,0.08847,0.08849
envoy-permissive,48,400000,client,20,libc,241,0.0387,0.0387
envoy-permissive,48,400000,client,20,kernel-poll,190,0.03051,0.03051
envoy-permissive,48,400000,client,20,app-code,112,0.01798,0.01799
envoy-permissive,48,400000,client,20,vdso,99,0.0159,0.0159
envoy-permissive,48,400000,server,21,kernel-net,1607,0.25925,0.27588
envoy-permissive,48,400000,server,21,kernel-sched,1583,0.25538,0.27176
envoy-permissive,48,400000,server,21,kernel-other,963,0.15536,0.16532
envoy-permissive,48,400000,server,21,envoy-code,666,0.10744,0.11433
envoy-permissive,48,400000,server,21,kernel-syscall,563,0.09083,0.09665
envoy-permissive,48,400000,server,21,libc,213,0.03436,0.03657
envoy-permissive,48,400000,server,21,kernel-poll,162,0.02613,0.02781
envoy-permissive,48,400000,server,21,app-code,46,0.00742,0.0079
envoy-permissive,48,400000,server,21,vdso,22,0.00355,0.00378
envoy-permissive,1008,300000,client,20,kernel-net,1845,0.29637,0.29643
envoy-permissive,1008,300000,client,20,kernel-other,1336,0.21461,0.21465
envoy-permissive,1008,300000,client,20,kernel-sched,1228,0.19726,0.1973
envoy-permissive,1008,300000,client,20,envoy-code,623,0.10008,0.1001
envoy-permissive,1008,300000,client,20,kernel-syscall,533,0.08562,0.08564
envoy-permissive,1008,300000,client,20,libc,303,0.04867,0.04868
envoy-permissive,1008,300000,client,20,kernel-poll,188,0.0302,0.03021
envoy-permissive,1008,300000,client,20,app-code,101,0.01622,0.01623
envoy-permissive,1008,300000,client,20,vdso,67,0.01076,0.01076
envoy-permissive,1008,300000,server,21,kernel-net,2085,0.33533,0.34412
envoy-permissive,1008,300000,server,21,kernel-other,1279,0.2057,0.21109
envoy-permissive,1008,300000,server,21,kernel-sched,1189,0.19123,0.19624
envoy-permissive,1008,300000,server,21,envoy-code,612,0.09843,0.10101
envoy-permissive,1008,300000,server,21,kernel-syscall,454,0.07302,0.07493
envoy-permissive,1008,300000,server,21,libc,242,0.03892,0.03994
envoy-permissive,1008,300000,server,21,kernel-poll,135,0.02171,0.02228
envoy-permissive,1008,300000,server,21,app-code,42,0.00675,0.00693
envoy-permissive,1008,300000,server,21,vdso,21,0.00338,0.00347
envoy-strict,48,120000,client,22,kernel-net,1783,0.28624,0.28629
envoy-strict,48,120000,client,22,kernel-sched,1490,0.2392,0.23924
envoy-strict,48,120000,client,22,kernel-other,1070,0.17178,0.1718
envoy-strict,48,120000,client,22,envoy-code,834,0.13389,0.13391
envoy-strict,48,120000,client,22,kernel-syscall,541,0.08685,0.08687
envoy-strict,48,120000,client,22,libc,228,0.0366,0.03661
envoy-strict,48,120000,client,22,kernel-poll,179,0.02874,0.02874
envoy-strict,48,120000,client,22,vdso,52,0.00835,0.00835
envoy-strict,48,120000,client,22,app-code,51,0.00819,0.00819
envoy-strict,48,120000,server,23,kernel-net,1648,0.26647,0.27861
envoy-strict,48,120000,server,23,kernel-sched,1543,0.24949,0.26086
envoy-strict,48,120000,server,23,kernel-other,900,0.14552,0.15216
envoy-strict,48,120000,server,23,envoy-code,889,0.14374,0.1503
envoy-strict,48,120000,server,23,kernel-syscall,532,0.08602,0.08994
envoy-strict,48,120000,server,23,libc,221,0.03573,0.03736
envoy-strict,48,120000,server,23,kernel-poll,140,0.02264,0.02367
envoy-strict,48,120000,server,23,vdso,23,0.00372,0.00389
envoy-strict,48,120000,server,23,app-code,19,0.00307,0.00321
envoy-strict,48,260000,client,22,kernel-net,1713,0.27504,0.27509
envoy-strict,48,260000,client,22,kernel-sched,1525,0.24485,0.2449
envoy-strict,48,260000,client,22,kernel-other,1053,0.16907,0.1691
envoy-strict,48,260000,client,22,envoy-code,838,0.13455,0.13458
envoy-strict,48,260000,client,22,kernel-syscall,550,0.08831,0.08833
envoy-strict,48,260000,client,22,libc,232,0.03725,0.03726
envoy-strict,48,260000,client,22,kernel-poll,175,0.0281,0.0281
envoy-strict,48,260000,client,22,app-code,79,0.01268,0.01269
envoy-strict,48,260000,client,22,vdso,62,0.00995,0.00996
envoy-strict,48,260000,server,23,kernel-net,1608,0.25992,0.27426
envoy-strict,48,260000,server,23,kernel-sched,1493,0.24133,0.25465
envoy-strict,48,260000,server,23,kernel-other,913,0.14758,0.15572
envoy-strict,48,260000,server,23,envoy-code,895,0.14467,0.15265
envoy-strict,48,260000,server,23,kernel-syscall,490,0.07921,0.08357
envoy-strict,48,260000,server,23,libc,256,0.04138,0.04366
envoy-strict,48,260000,server,23,kernel-poll,166,0.02683,0.02831
envoy-strict,48,260000,server,23,vdso,27,0.00436,0.00461
envoy-strict,48,260000,server,23,app-code,15,0.00242,0.00256
envoy-strict,48,400000,client,22,kernel-net,1694,0.27193,0.272
envoy-strict,48,400000,client,22,kernel-sched,1471,0.23614,0.23619
envoy-strict,48,400000,client,22,kernel-other,1044,0.16759,0.16763
envoy-strict,48,400000,client,22,envoy-code,924,0.14833,0.14836
envoy-strict,48,400000,client,22,kernel-syscall,508,0.08155,0.08157
envoy-strict,48,400000,client,22,libc,229,0.03676,0.03677
envoy-strict,48,400000,client,22,kernel-poll,168,0.02697,0.02697
envoy-strict,48,400000,client,22,app-code,121,0.01942,0.01943
envoy-strict,48,400000,client,22,vdso,69,0.01108,0.01108
envoy-strict,48,400000,server,23,kernel-net,1593,0.25662,0.27546
