arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_tx_writer_wakes_total,dmesh_worker_drain_progressed_total,dmesh_worker_pe_progressed_total,dmesh_worker_drain_pending_total,dmesh_tx_errors_total,dmesh_worker_maintenances_total,dmesh_worker_cross_in_total,dmesh_tx_accepted_bytes_total,dmesh_tx_reserve_attempts_total,dmesh_worker_arms_total,dmesh_worker_local_completions_total,dmesh_worker_drain_calls_total,dmesh_worker_drain_idle_total,dmesh_worker_cross_out_total,dmesh_tx_publications_total,dmesh_worker_data_progressed_total,dmesh_tx_retries_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_notification_clears_total
lean2,grpc,65536,capacity,stat,3,True,12.537503072991967,95.09,161121,13096.0,4874.0,7309.0,590.1775684113182,8.0,4027399.0,2803094.0,49957.0,0.0,98494.0,0.0,21156250015.0,2183112.0,220574.0,2803094.0,4378476.0,301120.0,0.0,2183112.0,4027399.0,8.0,21156250015.0,220574.0
lean2,grpc,65536,matched,clean,1,True,8.457927221083082,15.59,16000,2000.0,1390.0,2524.0,974.375,0.0,883460.0,289696.0,45889.0,0.0,46582.0,0.0,2100714003.0,199630.0,265806.0,289696.0,1369658.0,440309.0,0.0,199630.0,883460.0,0.0,2100714003.0,265806.0
lean2,grpc,65536,matched,clean,2,True,8.453409697976895,15.56,16000,1999.0,1434.0,2535.0,972.5,0.0,883818.0,289727.0,45724.0,0.0,46627.0,0.0,2100714303.0,199693.0,266245.0,289727.0,1370971.0,441429.0,0.0,199693.0,883818.0,0.0,2100714303.0,266245.0
lean2,grpc,65536,matched,clean,3,True,8.541369906044565,15.72,16000,1999.0,1436.0,2590.0,982.5,0.0,887072.0,290058.0,45842.0,0.0,50385.0,0.0,2100718761.0,200327.0,269641.0,290058.0,1380592.0,447678.0,0.0,200327.0,887072.0,0.0,2100718761.0,269641.0
lean2,grpc,8192,capacity,clean,1,True,8.519975895993412,54.51,179529,21636.0,2937.0,4454.0,303.6278261450796,0.0,1089640.0,417892.0,33197.0,0.0,65388.0,0.0,2961699735.0,426284.0,185225.0,417892.0,1421350.0,298513.0,0.0,426284.0,1089640.0,0.0,2961699735.0,185225.0
lean2,grpc,8192,capacity,clean,2,True,8.456056796014309,54.13,177927,21432.0,2958.0,4548.0,304.2258903932512,1.0,1074354.0,413500.0,32535.0,0.0,64905.0,0.0,2935180078.0,421809.0,182735.0,413500.0,1402306.0,295417.0,0.0,421809.0,1074354.0,1.0,2935180078.0,182735.0
lean2,grpc,8192,capacity,clean,3,True,8.482478864025325,54.49,179320,21608.0,2931.0,4569.0,303.8701762212804,1.0,1085359.0,417105.0,32939.0,0.0,69004.0,0.0,2958276364.0,425495.0,188360.0,417105.0,1423848.0,305550.0,0.0,425495.0,1085359.0,1.0,2958276364.0,188360.0
lean2,grpc,8192,matched,clean,1,True,8.55125102296006,43.96,80000,9999.0,1661.0,2187.0,549.5,0.0,2010514.0,315225.0,169666.0,0.0,65438.0,0.0,1319774896.0,319080.0,768733.0,315225.0,3333947.0,1153767.0,0.0,319080.0,2010514.0,0.0,1319774896.0,768733.0
lean2,grpc,8192,matched,clean,2,True,8.460389357060194,43.75,80000,9999.0,1699.0,2258.0,546.875,0.0,2000220.0,313449.0,172179.0,0.0,65513.0,0.0,1319774862.0,317303.0,765607.0,313449.0,3312750.0,1140351.0,0.0,317303.0,2000220.0,0.0,1319774862.0,765607.0
lean2,grpc,8192,matched,clean,3,True,8.522184867993928,43.81,80000,9999.0,1694.0,2254.0,547.625,0.0,2001422.0,313650.0,171257.0,0.0,66051.0,0.0,1319791331.0,317511.0,765641.0,313650.0,3314443.0,1141764.0,0.0,317511.0,2001422.0,0.0,1319791331.0,765641.0
lean2,opaque,1024,capacity,clean,1,True,8.201583451009355,24.13,976157,122169.0,478.0,1181.0,24.71938427937309,0.0,4553386.0,587918.0,497824.0,0.0,65557.0,0.0,2030406560.0,587894.0,2243215.0,587918.0,8561926.0,3510716.0,0.0,587894.0,4553386.0,0.0,2030406560.0,2243215.0
lean2,opaque,1024,capacity,clean,2,True,8.200399706955068,24.62,1001026,125647.00000000001,467.0,1149.0,24.59476577031965,0.0,4668740.0,602655.0,514263.0,0.0,65970.0,0.0,2082134080.0,602631.0,2305605.0,602655.0,8784409.0,3601406.0,0.0,602631.0,4668740.0,0.0,2082134080.0,2305605.0
lean2,opaque,1024,capacity,clean,3,True,8.25308982806746,25.75,1049150,131259.0,450.0,1120.0,24.54367821569842,0.0,4892260.0,631424.0,535681.0,0.0,66498.0,0.0,2182232000.0,631400.0,2409238.0,631424.0,9197225.0,3769284.0,0.0,631400.0,4892260.0,0.0,2182232000.0,2409238.0
lean2,opaque,1024,matched,clean,1,True,8.189749437966384,12.24,160000,19999.0,260.0,483.0,76.5,2.0,2386896.0,318977.0,280538.0,0.0,59552.0,0.0,332800000.0,318841.0,1219354.0,318977.0,4571747.0,1904313.0,0.0,318841.0,2386896.0,4.0,332800000.0,1219354.0
lean2,opaque,1024,matched,clean,2,True,8.249740008963272,12.11,160000,20051.0,226.0,482.0,75.6875,3.0,2373707.0,318189.0,270126.0,0.0,59065.0,0.0,332800000.0,317804.0,1212886.0,318189.0,4548030.0,1904197.0,0.0,317804.0,2373707.0,6.0,332800000.0,1212886.0
lean2,opaque,1024,matched,clean,3,True,8.202180991997011,12.17,160000,20049.0,257.0,518.0,76.0625,3.0,2364053.0,318206.0,271506.0,0.0,60122.0,0.0,332800000.0,317858.0,1209288.0,318206.0,4536115.0,1900556.0,0.0,317858.0,2364053.0,6.0,332800000.0,1209288.0
lean2,opaque,64,capacity,clean,1,True,8.208696994930506,24.68,1119331,139956.0,427.0,1100.0,22.04888455693624,0.0,4903327.0,672423.0,557935.0,0.0,66060.0,0.0,179092960.0,672407.0,2524862.0,672423.0,9444824.0,3983562.0,0.0,672407.0,4903327.0,0.0,179092960.0,2524862.0
lean2,opaque,64,capacity,clean,2,True,8.224909765995108,25.06,1141689,143089.0,421.0,1079.0,21.949935577902565,0.0,4984316.0,685677.0,566035.0,0.0,66299.0,0.0,182670240.0,685653.0,2566531.0,685677.0,9608035.0,4057684.0,0.0,685653.0,4984316.0,0.0,182670240.0,2566531.0
lean2,opaque,64,capacity,clean,3,True,8.21131195104681,24.85,1133207,141854.0,422.0,1088.0,21.928915017291633,0.0,4950486.0,680569.0,562529.0,0.0,65820.0,0.0,181313120.0,680545.0,2549289.0,680569.0,9540532.0,4027517.0,0.0,680545.0,4950486.0,0.0,181313120.0,2549289.0
lean2,opaque,64,matched,clean,1,True,8.204738583997823,11.81,160000,19999.0,249.0,489.0,73.8125,0.0,2301553.0,319506.0,265280.0,0.0,59919.0,0.0,25600000.0,319431.0,1200380.0,319506.0,4469743.0,1902910.0,0.0,319431.0,2301553.0,0.0,25600000.0,1200380.0
lean2,opaque,64,matched,clean,2,True,8.240282902959734,11.73,160000,20000.0,237.0,484.0,73.3125,0.0,2293557.0,319331.0,268253.0,0.0,60180.0,0.0,25600000.0,319237.0,1202752.0,319331.0,4462175.0,1900365.0,0.0,319237.0,2293557.0,0.0,25600000.0,1202752.0
lean2,opaque,64,matched,clean,3,True,8.20936919900123,11.79,160000,19999.0,284.0,495.0,73.6875,0.0,2287358.0,318819.0,262129.0,0.0,63582.0,0.0,25600000.0,318614.0,1201243.0,318819.0,4456420.0,1906933.0,0.0,318614.0,2287358.0,0.0,25600000.0,1201243.0
lean3,grpc,1024,capacity,clean,1,True,8.469574089045636,52.52,289066,34833.0,1838.0,3492.0,181.68861090546795,0.0,1437032.0,215045.0,122704.0,0.0,64928.0,0.0,624647768.0,216894.0,494475.0,215045.0,2256173.0,696437.0,0.0,216894.0,1437032.0,0.0,624647768.0,494475.0
lean3,grpc,1024,capacity,clean,2,True,8.540439523989335,52.38,287983,34733.0,1842.0,3102.0,181.88573631082392,0.0,1433289.0,214861.0,120898.0,0.0,65080.0,0.0,622346162.0,216704.0,490512.0,214861.0,2245585.0,691398.0,0.0,216704.0,1433289.0,0.0,622346162.0,490512.0
lean3,grpc,1024,capacity,clean,3,True,8.482072560931556,52.92,293103,35339.0,1824.0,2792.0,180.55086437191022,0.0,1438788.0,215395.0,123067.0,0.0,65264.0,0.0,633403532.0,217274.0,499206.0,215395.0,2268501.0,706646.0,0.0,217274.0,1438788.0,0.0,633403532.0,499206.0
lean3,grpc,1024,matched,clean,1,True,8.525512248044834,52.41,159999,20005.0,1012.0,2011.0,327.5645472784205,0.0,1641120.0,254402.0,117401.0,0.0,65656.0,0.0,345777830.0,255487.0,515717.0,254402.0,2508123.0,749602.0,0.0,255487.0,1641120.0,0.0,345777830.0,515717.0
lean3,grpc,1024,matched,clean,2,True,8.449774491018616,52.38,159999,20000.0,1019.0,2019.0,327.37704610653816,0.0,1640323.0,253928.0,117534.0,0.0,65060.0,0.0,345776725.0,255009.0,512211.0,253928.0,2497705.0,739848.0,0.0,255009.0,1640323.0,0.0,345776725.0,512211.0
lean3,grpc,1024,matched,clean,3,True,8.45885959698353,52.44,159999,19999.0,996.0,1971.0,327.7520484503028,0.0,1642046.0,254196.0,117235.0,0.0,65194.0,0.0,345774651.0,255270.0,513324.0,254196.0,2503204.0,743923.0,0.0,255270.0,1642046.0,0.0,345774651.0,513324.0
lean3,grpc,64,capacity,clean,1,True,8.488492063013837,52.27,300192,36200.0,1777.0,2745.0,174.12189532032832,0.0,1472606.0,220084.0,124909.0,0.0,65458.0,0.0,70853400.0,220345.0,515139.0,220084.0,2330785.0,733270.0,0.0,220345.0,1472606.0,0.0,70853400.0,515139.0
